timestep,reward
2,-1.46
292,-1.094
601,3.662
900,1.044
1202,-0.327
1510,0.756
1787,-1.239
2070,0.845
2349,1.522
2612,2.443
2906,4.467
3187,2.209
3473,0.879
3744,3.432
3988,2.14
4262,3.043
4570,4.603
4898,2.461
5182,3.734
5476,4.951
5779,2.313
6063,3.474
6351,2.699
6660,1.004
6926,0.085
7213,5.468
7511,2.067
7791,3.51
8091,0.908
8381,3.949
8670,2.302
8916,2.816
9227,1.75
9528,0.969
9805,0.287
10117,3.853
10442,1.337
10717,3.304
10999,2.302
11278,2.087
11567,3.371
11873,1.177
12155,5.849
12465,4.269
12784,5.297
13080,3.625
13402,4.465
13705,2.867
14030,4.211
14360,6.301
14676,3.612
14959,4.691
15269,2.602
15556,3.232
15860,4.894
16174,7.063
16493,4.898
16842,8.727
17155,3.612
17470,9.441
17783,5.412
18092,7.424
18412,6.191
18723,2.57
19057,3.077
19399,4.415
19700,4.532
20008,7.43
20327,8.293
20681,5.362
21020,6.005
21318,6.859
21625,8.444
21959,3.461
22313,6.78
22662,0.07
22971,4.6
23289,6.932
23606,5.139
23932,3.247
24268,6.953
24604,8.206
24978,9.084
25330,2.868
25657,5.358
25981,4.339
26315,5.083
26655,4.674
27031,1.92
27444,1.565
27772,9.555
28105,8.529
28448,3.337
28801,3.808
29122,6.176
29464,6.588
29801,5.516
30153,8.83
30508,4.533
30877,5.664
